timestamp,event_name,city,target_date,series_slug,question,outcome_name,implied_prob,clob_buy_price,clob_sell_price,spread,best_bid,best_ask,volume,liquidity,token_id,market_id,event_id
2026-03-11T04:27:18.867654+00:00,Highest temperature in Paris on March 11?,Paris,2026-03-11,paris-daily-weather,Will the highest temperature in Paris be 16°C or higher on March 11?,Yes,0.01,,,,0.005,0.015,9145.923750999998,930.59796,73085790056218971767788866891731894460014977855507819173241383795542103064208,1536877,255776
2026-03-11T04:27:18.867654+00:00,Highest temperature in Paris on March 11?,Paris,2026-03-11,paris-daily-weather,Will the highest temperature in Paris be 16°C or higher on March 11?,No,0.99,,,,0.005,0.015,9145.923750999998,930.59796,88705665182874441818748472991679552558195673276136472346501860712434503571878,1536877,255776
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 19°C on March 11?,Yes,0.0105,,,,0.009,0.012,5066.1097070000005,1256.95011,62765033167978601448652375208525997245835567911814855030307134443369281684525,1536879,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 19°C on March 11?,No,0.9895,,,,0.009,0.012,5066.1097070000005,1256.95011,97686822368604179744608663906810875495750189307852610905094540744933274670643,1536879,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 20°C on March 11?,Yes,0.0635,,,,0.061,0.066,3428.938531,1282.20902,29662535273482754447162408541863811863092722999289941797220271536212443625431,1536880,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 20°C on March 11?,No,0.9365,0.934,0.939,-0.005000,0.061,0.066,3428.938531,1282.20902,60528292468354288088201487340913310841489454122495275418410290469806357125983,1536880,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 21°C on March 11?,Yes,0.195,,,,0.18,0.21,2645.301798,608.3063,101224476396313791752424522486481428321558297732793981924382666946408229399461,1536881,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 21°C on March 11?,No,0.805,0.79,0.82,-0.030000,0.18,0.21,2645.301798,608.3063,56269575579720278486677123666022103293768334050144840467531742332141728741653,1536881,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 22°C on March 11?,Yes,0.3,,,,0.29,0.31,2854.017476,606.4395,102535354188437274968136165843686525404058531194970525924675986400523633217523,1536882,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 22°C on March 11?,No,0.7,,,,0.29,0.31,2854.017476,606.4395,49625588458765215835280342140785723774692206433953334870018865245036012309248,1536882,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 23°C on March 11?,Yes,0.26,,,,0.24,0.28,2634.2814419999995,697.1532,101580913654006468041751035457438518121081018605513934956309286757674290421963,1536883,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 23°C on March 11?,No,0.74,0.72,0.76,-0.040000,0.24,0.28,2634.2814419999995,697.1532,12588585878186498079948738839633134771945873967495659900571355336863701876843,1536883,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 24°C on March 11?,Yes,0.125,,,,0.11,0.14,2899.136766,584.1105,24866726015011619025879631399874908513464621969266351392164650732496923262367,1536884,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 24°C on March 11?,No,0.875,0.86,0.89,-0.030000,0.11,0.14,2899.136766,584.1105,103087186411581999877252386294960775735877400582061589727782720416017616157542,1536884,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 25°C on March 11?,Yes,0.027,,,,0.026,0.028,1475.667282,943.94477,39842134372232083334358320836781933065914225465205064892911830998636485679976,1536885,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 25°C on March 11?,No,0.973,,,,0.026,0.028,1475.667282,943.94477,35141495621680038185275748603092363922405717727302651763488805847427773163251,1536885,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 26°C or higher on March 11?,Yes,0.0175,,,,0.015,0.02,3499.1917919999996,1080.56502,86293156230511227578284202722563171158517988020294852372814524941831483766555,1536886,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Sao Paulo on March 11?,Sao Paulo,2026-03-11,sao-paulo-daily-weather,Will the highest temperature in Sao Paulo be 26°C or higher on March 11?,No,0.9825,,,,0.015,0.02,3499.1917919999996,1080.56502,18419971427378215422639837463653574196079529293860515569626620661486447463530,1536886,255777
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 24°C or below on March 11?,Yes,0.0105,,,,0.01,0.011,5245.6713530000025,2476.35669,53301335608634923636488240736070250675478815365849222404770839797616145981108,1536887,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 24°C or below on March 11?,No,0.9895,,,,0.01,0.011,5245.6713530000025,2476.35669,3131263500168276828079119478942166421295443019156158433684065165696845294541,1536887,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 25°C on March 11?,Yes,0.0165,,,,0.013,0.02,14546.262213000002,2889.41993,19361242801513149297317374992951583760855450382681099886354256939293765397419,1536888,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 25°C on March 11?,No,0.9835,,,,0.013,0.02,14546.262213000002,2889.41993,66001365316053333412477372485782442674171423596604644757710836977917681097923,1536888,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 26°C on March 11?,Yes,0.07,,,,0.062,0.078,7227.3809470000015,811.32834,44371417994953136521311039238339659451170292632709773816412179643766090444124,1536889,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 26°C on March 11?,No,0.93,0.922,0.938,-0.016000,0.062,0.078,7227.3809470000015,811.32834,51024367142754409725820988085605481444056415970409562323800133718881663869989,1536889,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 27°C on March 11?,Yes,0.245,,,,0.24,0.25,3465.951512999999,762.0043,51176653204942931602894212173344018500609995404973416700902601287675679158044,1536890,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 27°C on March 11?,No,0.755,0.75,0.76,-0.010000,0.24,0.25,3465.951512999999,762.0043,39243811229161527253750888091288269998792324028446772814855764104286029087038,1536890,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 28°C on March 11?,Yes,0.335,,,,0.33,0.34,2668.9841349999997,609.8404,59173242108727079106723502828936784479684925907037897326348086214558368719180,1536891,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 28°C on March 11?,No,0.665,,,,0.33,0.34,2668.9841349999997,609.8404,5537584441059580946018883568003023453151284462817720043182067926108697192597,1536891,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 29°C on March 11?,Yes,0.205,,,,0.2,0.21,4910.850765999996,807.3491,101622606284221997622410006410977205734584171105262819405952066633004074455195,1536892,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 29°C on March 11?,No,0.795,0.79,0.8,-0.010000,0.2,0.21,4910.850765999996,807.3491,35070795707290890748848210810310706522558126474273531610648641678634327455504,1536892,255778
