resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T07:34:52Z,btc-updown-5m-1772781900,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:34:52Z,xrp-updown-15m-1772781300,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T07:36:58Z,xrp-updown-5m-1772782200,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T07:36:58Z,eth-updown-5m-1772782200,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:36:58Z,btc-updown-5m-1772782200,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:36:58Z,sol-updown-5m-1772782200,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T07:43:14Z,sol-updown-5m-1772782500,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T07:43:14Z,eth-updown-5m-1772782500,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:43:14Z,btc-updown-5m-1772782500,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T07:43:14Z,xrp-updown-5m-1772782500,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:47:25Z,eth-updown-15m-1772782200,eth-up-or-down-15m,ETH,15m,up_down,,Up
2026-03-06T07:47:25Z,sol-updown-15m-1772782200,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T07:47:25Z,sol-updown-5m-1772782800,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:47:25Z,eth-updown-5m-1772782800,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:47:25Z,btc-updown-5m-1772782800,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:47:25Z,btc-updown-15m-1772782200,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T07:47:25Z,xrp-updown-5m-1772782800,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:47:25Z,xrp-updown-15m-1772782200,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T07:52:37Z,sol-updown-5m-1772783100,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T07:52:37Z,btc-updown-5m-1772783100,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:52:37Z,xrp-updown-5m-1772783100,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T07:52:37Z,eth-updown-5m-1772783100,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T07:57:49Z,eth-updown-5m-1772783400,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T07:57:49Z,xrp-updown-5m-1772783400,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T07:57:49Z,btc-updown-5m-1772783400,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T07:57:49Z,sol-updown-5m-1772783400,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:04:07Z,btc-updown-5m-1772783700,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:04:07Z,sol-updown-5m-1772783700,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:04:07Z,xrp-updown-5m-1772783700,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T08:04:07Z,sol-updown-15m-1772783100,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T08:04:07Z,eth-updown-5m-1772783700,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T08:04:07Z,eth-updown-15m-1772783100,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T08:04:07Z,xrp-updown-15m-1772783100,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T08:04:07Z,btc-updown-15m-1772783100,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T08:07:14Z,xrp-updown-5m-1772784000,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T08:07:14Z,eth-updown-5m-1772784000,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T08:07:14Z,btc-updown-5m-1772784000,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:07:14Z,sol-updown-5m-1772784000,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:15:36Z,sol-updown-5m-1772784300,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:15:36Z,btc-updown-5m-1772784300,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:15:36Z,xrp-updown-5m-1772784300,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T08:15:36Z,eth-updown-5m-1772784300,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T08:17:42Z,btc-updown-15m-1772784000,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T08:17:42Z,sol-updown-15m-1772784000,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T08:17:42Z,xrp-updown-15m-1772784000,xrp-up-or-down-15m,XRP,15m,up_down,,Down
2026-03-06T08:17:42Z,btc-updown-5m-1772784600,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T08:17:42Z,eth-updown-5m-1772784600,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T08:17:42Z,eth-updown-15m-1772784000,eth-up-or-down-15m,ETH,15m,up_down,,Down
2026-03-06T08:17:42Z,xrp-updown-5m-1772784600,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T08:17:42Z,sol-updown-5m-1772784600,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:27:13Z,btc-updown-5m-1772784900,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T08:27:13Z,eth-updown-5m-1772784900,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T08:27:13Z,sol-updown-5m-1772784900,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T08:27:13Z,xrp-updown-5m-1772784900,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T08:28:16Z,eth-updown-5m-1772785200,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T08:28:16Z,sol-updown-5m-1772785200,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:28:16Z,btc-updown-5m-1772785200,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:28:16Z,xrp-updown-5m-1772785200,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T08:33:32Z,xrp-updown-5m-1772785500,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T08:33:32Z,eth-updown-15m-1772784900,eth-up-or-down-15m,ETH,15m,up_down,,Down
